subject,mag_prec,mag_noise3,riskprec_sym,riskprec_coin,riskprec_pool,risknoise_sym,risknoise_coin,risknoise_pool,rnp_sym,rnp_coin,rnp_pool,ip_sym,ip_coin,ip_pool,int_sym,int_coin,int_pool,prior_sym,prior_coin,prior_pool,npc1_left_sd,npc1_right_sd,npc1_left_r,npc1_right_r,npc_int_bil,npc_int_l,npc_int_r,npc_slp_bil,npc_slp_l,npc_slp_r
1,3.46227,0.20423,5.99275,3.45,3.97,0.11799,0.205,0.178,0.56935,0.46163,0.50808,1.756388864,2.16623703,1.968193985,3.375475884,2.666820932,2.688151963,0.109112709,0.145760843,0.140462599,1.44626,1.70758,0.218,0.233,0.224083887,0.25158918,0.274916429,0.151737928,0.133932986,0.065633583
2,3.4251,0.20645,5.37317,4.28,4.85,0.1316,0.165,0.146,0.54841,0.57844,0.56608,1.823453256,1.728787774,1.766534765,3.227835679,2.342959544,2.75974636,0.114815476,0.156924989,0.133560766,2.46684,2.43469,0.215,0.281,0.152537386,0.063149593,0.257324166,0.130574286,0.106377586,0.100329544
3,2.69401,0.26247,1.5123,1.24,1.26,0.46757,0.569,0.559,0.19108,0.17131,0.17079,5.23341009,5.837370848,5.855143744,2.502951912,2.187707818,2.22682389,0.201686686,0.236880934,0.232885771,4.00957,3.7523,0.01,0.119,0.065774877,0.04123422,0.040412751,0.056333977,0.020136031,-0.065777098
4,2.37278,0.29801,4.23676,3.01,3.33,0.1669,0.235,0.212,0.58157,0.46852,0.52191,1.719483467,2.134380603,1.916039164,2.296425331,2.282111231,2.165366199,0.160034135,0.169532283,0.173119313,2.26915,2.1228,0.1,0.09,0.035725501,0.072573316,0.088865762,-0.018774275,-0.020047452,0.11515768
5,2.63306,0.26855,2.21593,2.09,2.07,0.3191,0.339,0.342,0.66227,0.58513,0.62713,1.509958174,1.709021927,1.59456572,0.913144758,1.12007538,0.965864946,0.416443833,0.327977808,0.382605038,3.31289,3.41079,0.015,0.161,0.158726955,0.081575689,0.234668457,0.039494845,0.068863885,0.033811397
6,2.73506,0.25853,1.3618,1.48,1.35,0.51924,0.478,0.524,0.38354,0.40807,0.397,2.607289983,2.450559953,2.518891688,1.305028412,1.326548495,1.247155648,0.316532215,0.305103011,0.327484942,2.72769,1.97817,0.158,0.213,0.229653591,0.190156531,0.319245718,0.263631274,0.261985823,0.125984559
7,2.87581,0.24588,2.0997,1.31,1.62,0.33677,0.539,0.436,0.30065,0.17363,0.24191,3.326126725,5.75937338,4.133768757,2.523437269,2.293585572,2.299087027,0.176785401,0.225232245,0.206542003,1.28614,1.80755,0.291,0.166,0.070985324,0.029436813,0.104713568,0.386683823,-0.06543793,0.349455649
8,3.27792,0.21572,4.57425,3.51,3.88,0.15458,0.202,0.182,0.64327,0.59742,0.61959,1.554557184,1.673864283,1.613970529,2.018116725,1.808123483,1.857345563,0.184861483,0.203080413,0.198406221,2.28744,2.01055,0.229,0.201,0.083212778,0.048844483,0.181039942,0.340713229,0.224297533,0.128924112
9,2.61883,0.27001,2.52965,2.3,2.32,0.27953,0.307,0.305,0.32663,0.36996,0.34623,3.061568135,2.702994918,2.888253473,2.830494311,2.287028891,2.460712605,0.153652013,0.182759044,0.173524312,2.71426,3.59492,0.28,0.154,0.161991693,0.048655927,0.211207141,0.093737411,-0.025344332,0.12065124
10,2.58369,0.27368,5.56854,3.32,4.14,0.12698,0.213,0.171,0.5664,0.51907,0.54076,1.765536723,1.926522434,1.849249205,3.165462939,2.17697888,2.545188047,0.11643306,0.172440566,0.146038358,2.71755,2.66411,-0.035,-0.065,0.074104371,0.03786595,0.121140564,0.024863673,-0.004854446,-0.033686893
11,3.32932,0.21239,3.83205,2.8,3.25,0.18452,0.252,0.218,0.33897,0.32979,0.33352,2.950113579,3.032232633,2.99832094,4.14567904,3.106037734,3.568670448,0.10369241,0.139600655,0.121075323,2.43794,1.83313,0.195,0.253,0.290799857,0.4195507,0.397218054,-0.019334545,0.069570858,0.020388348
12,3.57402,0.19785,2.43421,1.66,1.9,0.29049,0.425,0.373,0.57932,0.66527,0.62427,1.726161707,1.503149097,1.601870985,1.328835913,0.676553427,0.895227393,0.27664825,0.564338505,0.412309967,1.61228,1.88097,0.186,0.186,0.287919711,0.038369842,0.372500275,0.048689526,-0.014868708,0.088553126
13,2.80873,0.25175,5.96432,3.11,3.69,0.11856,0.227,0.192,0.5447,0.38641,0.45902,1.835872958,2.587924743,2.178554311,3.623444251,2.957163084,2.873260924,0.102421504,0.13934787,0.135534041,3.36303,3.63734,-0.022,-0.104,0.065735871,0.043998692,0.165518136,0.104102831,0.032358092,0.029850368
14,2.63498,0.26835,3.4264,2.32,2.68,0.20637,0.305,0.264,0.27812,0.29933,0.28677,3.595570257,3.340794441,3.48711511,4.384773001,2.798404034,3.347520406,0.104115768,0.159626097,0.135157324,2.95442,3.43728,0.131,0.112,0.032730855,0.029716142,0.107022641,-0.066306628,-0.053525746,0.056948631
15,3.44195,0.20544,3.62517,3.33,2.98,0.19505,0.212,0.237,0.39568,0.55049,0.46901,2.527294784,1.816563425,2.1321507,3.361074463,1.987831806,2.256250943,0.121649571,0.186298879,0.171418787,2.33772,1.57042,0.173,0.133,0.49814749,0.484170919,0.583020845,0.009887406,0.050020556,0.024998867
16,3.25439,0.21728,5.29801,3.2,3.87,0.13347,0.221,0.183,0.45738,0.5188,0.48858,2.186365823,1.927525058,2.046747718,4.144319177,2.099957845,2.77189545,0.09407401,0.178789696,0.137778871,1.98327,1.77783,0.464,0.494,0.448464009,0.238545841,0.565138738,0.07532291,0.086279533,0.066001979
17,2.66803,0.26503,3.41662,2.99,3.24,0.20696,0.237,0.218,0.34388,0.35077,0.34856,2.90799116,2.850870941,2.868946523,3.647113794,3.132397377,3.414781467,0.117331108,0.135749355,0.124775462,3.42186,3.44648,0.223,0.099,0.156084169,0.065886702,0.118116727,-0.03821226,0.005054923,0.097736675
