subject,magPrec,riskPrec_sym,riskPrec_dot,riskBias_sym,riskBias_dot,rnp_sym,rnp_dot,npc_int_l,npc_int_r,npc_slp_l,npc_slp_r,ip_sym,ip_coin
43,3.90E+00,2.809485,3.09E+00,3.11719,3.23E+00,0.32971599,0.351644187,0.040108505,0.163643591,-0.027362179,0.055159704,3.032913266,2.844272842
44,2.84E+00,5.431425,4.33E+00,3.29072,3.38E+00,0.545601303,0.457593334,0.029320013,0.032699778,0.022023567,0.121572514,1.832840198,2.18278255
45,2.76E+00,0.3825545,1.57E-01,0.2958265,3.06E-01,0.461491136,0.142039108,0.042588338,0.06857676,0.073476021,0.420353662,2.166888858,7.021975481
46,3.46E+00,2.96738,1.97E+00,2.97162,2.19E+00,0.367354165,0.329352546,0.182134233,0.228911857,0.044162528,0.145886469,2.722168676,3.039445589
47,3.00E+00,4.90976,3.51E+00,4.801335,3.26E+00,0.376093899,0.394752945,0.067155057,0.146223428,0.041576673,-0.020615645,2.658910456,2.531406124
48,3.30E+00,4.840645,2.97E+00,3.820495,2.93E+00,0.454183812,0.372621801,0.041519582,0.16754906,-0.032847853,0.019653789,2.201751746,2.6819174
49,3.01E+00,2.328855,1.91E+00,2.54017,2.54E+00,0.335968551,0.265586492,0.091754299,0.176626826,0.06428708,-0.046139797,2.976469073,3.780449553
50,2.74E+00,5.12528,3.05E+00,3.50191,2.05E+00,0.504967008,0.510628871,0.034134262,0.067366724,0.021397002,0.091267705,1.980327396,1.95840653
51,2.69E+00,3.06334,4.00E+00,1.93508,2.79E+00,0.531692697,0.497630981,0.046644014,0.243283398,-0.073380322,0.000614736,1.88078566,2.008724613
52,2.75E+00,2.162225,1.10E+00,0.820144,1.48E+00,0.684336464,0.261893661,0.040548082,0.099420877,-0.05282564,0.006626975,1.461269497,3.839931567
53,2.19E+00,1.9536,7.54E-01,4.621575,3.64E+00,0.093886275,0.008031188,0.055873816,0.22622867,0.059905002,0.064021187,10.6511841,124.9090918
54,4.22E+00,5.1108,3.27E+00,3.627925,2.64E+00,0.491715677,0.445423997,0.065933393,0.519273592,-0.132437101,0.055645777,2.033695582,2.241935263
55,2.94E+00,4.025715,2.86E+00,2.593965,1.90E+00,0.525004265,0.514771831,0.029247931,0.143464502,-0.020876557,0.161418636,1.90474643,1.943199156
56,4.08E+00,5.083075,3.34E+00,4.550335,3.64E+00,0.408528597,0.336158386,0.296099183,0.078010222,0.198275828,0.45501012,2.447809058,2.97373982
57,3.05E+00,3.35625,2.97E+00,2.68482,2.42E+00,0.449353063,0.442431573,0.029425566,0.173730342,-0.027617452,0.053017617,2.225421573,2.258757345
58,3.77E+00,4.28896,3.52E+00,2.00086,2.37E+00,0.627184811,0.510509954,0.070093247,0.303672678,0.05297958,0.10231092,1.594426366,1.960688044
59,1.45E+00,1.866255,8.78E-01,3.580915,2.46E+00,0.146787329,0.06071364,0.066005901,0.088347762,0.121522466,0.152314056,6.81257711,16.47464156
60,3.87E+00,5.122145,3.32E+00,3.127055,3.28E+00,0.543080801,0.371664657,0.3221689,0.411491421,0.073212649,-0.002025712,1.841346624,2.685727946
61,2.86E+00,3.44107,2.10E+00,3.67724,2.56E+00,0.343477826,0.295855349,0.192417541,0.12465345,0.097719786,0.178604683,2.911396089,3.383963376
62,2.86E+00,4.251895,4.64E+00,2.24099,2.02E+00,0.590339928,0.646881259,0.031632562,0.091159174,-0.0434194,0.113552902,1.693939293,1.545495897
63,2.95E+00,4.28144,2.93E+00,4.21684,2.80E+00,0.373472234,0.383941436,0.046140604,0.249581406,0.103284212,0.091507733,2.677575226,2.6003119
64,2.82E+00,2.02135,2.37E+00,2.982205,3.73E+00,0.228697958,0.206802386,0.02924729,0.061713743,-0.02385723,0.316335644,4.372579483,4.825139578
